Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
JesusST,20,21,33,74,5,,,,,,,
ayanami,26,26,16,68,7,,,,,,,
JorgeST,25,14,28,67,8,,,,,,,
Javier(8)/Kyu(4),3,2,3,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,TNG,8,bz,2,46,,,,,,,
TNG v. bz (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
chaos,35,46,31,112,1,,,,,,,
Dino,46,34,30,110,2,,,,,,,
Rey,26,20,39,85,5,,,,,,,
Noah Cove,27,32,17,76,6,,,,,,,
brisk,3,3,0,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
The Nice Guys,137,135,117,0,389,343,46,W,8,2,R,
(2-2),2,2,0,4,8,,,,,,,
(3-3),0,0,2,0,2,,,,,,,
Ici Ca Bz,107,109,127,0,343,389,-46,L,2,8,R,
Shiv,16,39,52,107,3,,,,,,,
Cobra,35,28,33,96,4,,,,,,,
Gisko,30,16,23,69,7,,,,,,,
Hakim,25,25,15,65,8,,,,,,,
Lxddz,1,1,4,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/30/2022,GAMT,10,ST,0,46,,,,,,,
GAMT v. ST (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
ryannnn,31,26,41,98,3,,,,,,,
Luna,24,43,26,93,7,,,,,,,
GAMT Logan,39,26,24,89,6,,,,,,,
GAMT Arvo(6)/Mark(6),38,30,32,100,1,,,,,,,
Gerogio,3,3,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
George Arvo Mark Toad,135,128,126,0,389,343,46,W,10,0,R,
(5-1),2,2,2,4,10,,,,,,,
(3-2),0,0,0,0,0,,,,,,,
Shadow Team,109,116,118,0,343,389,-46,L,0,10,R,
ayanami,28,40,32,100,1,,,,,,,
JesusST,37,27,32,96,4,,,,,,,
JorgeST,16,7,30,53,8,,,,,,,
MonsterST(6)/Agger(6),27,41,23,91,5,,,,,,,
Kyu,1,1,1,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
10/31/2022,ST,6,TNG,4,1,,,,,,,
ST v. TNG (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
ayanami,38,31,38,107,1,,,,,,,
Agger,27,36,31,94,4,,,,,,,
Jesus,41,26,23,90,5,,,,,,,
Monster(1)/JorgeST(11),22,25,24,71,8,,,,,,,
Kyu,2,2,3,7,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Shadow Team,130,120,119,-5,364,363,1,W,6,4,R,
(4-2),2,0,0,4,6,,,,,,,
(2-3),0,2,2,0,4,,,,,,,
The Nice Guys,114,124,125,0,363,364,-1,L,4,6,R,
Rey,26,35,40,101,2,,,,,,,
Chaos,12,53,30,95,3,,,,,,,
Brisk,29,17,36,82,6,,,,,,,
Dino,45,17,18,80,7,,,,,,,
Noah Cove,2,2,1,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/2/22,ST,10,G4L,0,104,,,,,,,
ST vs GFL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
ayanami,60,40,30,130,1,,,,,,,
JesusST,32,29,33,94,3,,,,,,,
JorgeST,30,35,28,93,4,,,,,,,
Agger,22,32,38,92,5,,,,,,,
Kyu,4,3,2,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Shadow Team,148,139,131,0,418,314,104,W,10,0,R,
(5-2),2,2,2,4,10,,,,,,,
(1-6),0,0,0,0,0,,,,,,,
Geek for Life,96,105,113,0,314,418,-104,L,0,10,R,
JordanFR,31,34,34,99,2,,,,,,,
ff go next,23,24,33,80,6,,,,,,,
Michaud,21,27,27,75,7,,,,,,,
VicZ,21,19,17,57,8,,,,,,,
DemonMK,0,1,2,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,bz,10,Qnt,0,202,,,,,,,
bz vs Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Gisko,38,43,48,129,1,,,,,,,
Hakim,37,45,38,120,2,,,,,,,
Shark,35,34,32,101,3,,,,,,,
Mat,32,30,29,91,4,,,,,,,
Lxddz,3,0,1,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Ici Ca Bz,145,152,148,0,445,243,202,W,10,0,R,
(4-3),2,2,2,4,10,,,,,,,
(0-7),0,0,0,0,0,,,,,,,
Quintessence,55,92,96,0,243,445,-202,L,0,10,R,
Cole,19,25,31,75,5,,,,,,,
Aqua,8,33,20,61,6,,,,,,,
Krapel,11,18,22,51,7,,,,,,,
Ben,17,12,20,49,8,,,,,,,
Locky,0,4,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/5/22,TNG,10,Qnt,0,F,,,,,,,
TNG vs Qnt (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
The Nice Guys,100,100,100,300,300,0,300,W,10,0,R,
(3-3),2,2,2,4,10,,,,,,,
(0-8),0,0,0,0,0,,,,,,,
Quintessence,0,0,0,0,0,300,-300,L,0,10,R,
