Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
Jugar o Perder,130,126,131,0,387,345,42,W,10,0,R,
(7-2),2,2,2,4,10,,,,,,,
(3-5),0,0,0,0,0,,,,,,,
Gardie Lumb Wacker,114,118,113,0,345,387,-42,L,0,10,R,
Dhruv,27,28,35,90,3,,,,,,,
Sam G,25,34,22,81,5,,,,,,,
myles,27,33,18,78,7,,,,,,,
Kei Karuizawa,33,22,6,61,8,,,,,,,
gardelumbwacker,2,1,32,35,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
glw v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
glw,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Gardie Lumb Wacker,50,50,50,0,150,0,150,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
glw v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
glw,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Gardie Lumb Wacker,50,50,50,0,150,0,150,W,10,0,R,
(5-5),2,2,2,4,10,,,,,,,
(0-10),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
XIV v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
XIV,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
L Fourteen,50,50,50,0,150,0,150,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
JP v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
JP,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Jugar o Perder,50,50,50,0,150,0,150,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
Sw v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
Sw,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Southwest,50,50,50,0,150,0,150,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
Nw v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
Nw,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Northwest,50,50,50,0,150,0,150,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
Date,,10,,0,150,,,,,,,
Sw v. Hel (free win),GP1,GP2,GP3,Total,Place,,,,,,,
Sw,50,50,50,150,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Southwest,50,50,50,0,150,0,150,W,10,0,R,
(X-X),2,2,2,4,10,,,,,,,
(X-X),0,0,0,0,0,,,,,,,
Helicity,0,0,0,0,0,150,-150,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
