Teams,Abv,P,W,T,L,F,A,Dif,Pts,,,
zyr,20,41,17,78,6,,,,,,,
2D,30,18,26,74,8,,,,,,,
twingy,1,2,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,Ez,8,RISE,2,30,,,,,,,
Ez vs Rise (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Hintz,19,48,37,104,2,,,,,,,
kato,24,24,45,93,3,,,,,,,
Qatar,26,24,39,89,5,,,,,,,
Bluesharp,26,46,17,89,5,,,,,,,
NathanUK,3,1,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,98,143,140,0,381,351,30,W,8,2,R,
(4-2),0,2,2,4,8,,,,,,,
(1-6),2,0,0,0,2,,,,,,,
Rise,146,101,104,0,351,381,-30,L,2,8,R,
2D,29,46,33,108,1,,,,,,,
Nxvy,44,14,34,92,4,,,,,,,
Wattson,43,22,12,77,7,,,,,,,
JJ,29,16,23,68,8,,,,,,,
hazr,1,3,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/6/22,V$,10,Fts,0,60,,,,,,,
V$ vs Fts (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Spart,39,28,45,112,1,,,,,,,
Bowser Castle 3,21,48,29,98,2,,,,,,,
LilyUK,40,28,28,96,3,,,,,,,
Jesus,25,32,37,94,4,,,,,,,
I Hate It Here,2,3,1,6,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Versatile,127,139,140,-20,386,326,60,W,10,0,R,
(2-4),2,2,2,4,10,,,,,,,
(5-1),0,0,0,0,0,,,,,,,
Faithless,117,105,104,0,326,386,-60,L,0,10,R,
Jake,28,19,31,78,5,,,,,,,
Mystic Mine,14,32,26,72,6,,,,,,,
Toddy,29,16,19,64,7,,,,,,,
Lewis,17,32,11,60,8,,,,,,,
Elbing,29,6,17,52,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,Ez,10,Hz,0,124,,,,,,,
Ez vs Hz (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Hintz,48,37,50,135,1,,,,,,,
kato,34,26,40,100,2,,,,,,,
Soony,39,34,24,97,3,,,,,,,
Cow Jah,17,32,30,79,5,,,,,,,
NathanUK,3,2,12,17,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Ez,141,131,156,0,428,304,124,W,10,0,R,
(5-2),2,2,2,4,10,,,,,,,
(2-5),0,0,0,0,0,,,,,,,
Tunes Horizon,103,113,88,0,304,428,-124,L,0,10,R,
Jonny,19,44,28,91,4,,,,,,,
End,21,23,27,71,6,,,,,,,
oj,35,20,15,70,7,,,,,,,
Azuki,27,24,16,67,8,,,,,,,
JoshNFLD,1,2,2,5,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/11/22,bt,10,Cy,0,F,,,,,,,
bt vs Cy (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Band Together,100,100,100,300,300,0,300,W,10,0,R,
(5-3),2,2,2,4,10,,,,,,,
(3-2),0,0,0,0,0,,,,,,,
Contingency Black,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/12/22,V$,6,Cy,4,8,,,,,,,
V$ vs Cy (6-4),GP1,GP2,GP3,Total,Place,,,,,,,
Bowser Castle 3,37,35,37,109,1,,,,,,,
Jesus,32,33,30,95,2,,,,,,,
smug,18,26,48,92,4,,,,,,,
I Hate It Here,25,19,18,62,8,,,,,,,
zoomer,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Versatile,114,115,135,-25,339,331,8,W,6,4,R,
(3-4),0,0,2,4,6,,,,,,,
(3-3),2,2,0,0,4,,,,,,,
Contingency Black,98,129,109,-5,331,339,-8,L,4,6,R,
Alpha,36,27,30,93,3,,,,,,,
Joel Embiid,24,32,30,86,5,,,,,,,
Wob,24,38,19,81,6,,,,,,,
Christian,12,30,28,70,7,,,,,,,
kaden,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,RISE,8,Cy,2,22,,,,,,,
RISE vs Cy (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
zyr,46,20,44,110,2,,,,,,,
Nxvy,35,49,20,104,3,,,,,,,
twingy,24,33,33,90,4,,,,,,,
bodge,26,14,22,62,8,,,,,,,
xVOLTTHEPROGODx,4,3,4,11,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Rise,135,119,123,0,377,355,22,W,8,2,R,
(2-6),2,0,2,4,8,,,,,,,
(3-4),0,2,0,0,2,,,,,,,
Contingency Black,109,125,121,0,355,377,-22,L,2,8,R,
Alpha,42,30,51,123,1,,,,,,,
Wob,33,28,26,87,5,,,,,,,
Christian,17,34,22,73,6,,,,,,,
Joel Embiid,17,32,22,71,7,,,,,,,
kaden,0,1,0,1,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/13/22,bt,10,Ez,0,70,,,,,,,
bt vs Ez (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
atama,57,40,36,133,1,,,,,,,
Shumu,26,38,46,110,3,,,,,,,
amane,24,28,25,77,5,,,,,,,
Miya,18,32,26,76,6,,,,,,,
KasperJP,2,2,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Band Together,127,140,134,0,401,331,70,W,10,0,R,
(6-3),2,2,2,4,10,,,,,,,
(5-3),0,0,0,0,0,,,,,,,
Ez,117,104,110,0,331,401,-70,L,0,10,R,
Hintz,38,42,46,126,2,,,,,,,
Cow Jah,27,27,32,86,4,,,,,,,
Bluesharp,33,18,16,67,7,,,,,,,
kato,17,15,13,45,8,,,,,,,
NathanUK,2,2,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,bt,8,Hz,2,18,,,,,,,
bt vs Hz (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Shumu,36,43,30,109,3,,,,,,,
atama,38,41,26,105,4,,,,,,,
Got (9) / Ammo (3),24,35,36,95,5,,,,,,,
amane,16,10,34,60,7,,,,,,,
Kocchi,2,2,2,6,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Band Together,116,131,128,0,375,357,18,W,8,2,R,
(7-3),0,2,2,4,8,,,,,,,
(2-6),2,0,0,0,2,,,,,,,
Tunes Horizon,128,113,116,0,357,375,-18,L,2,8,R,
Jonny,48,35,30,113,1,,,,,,,
KA,38,43,32,113,1,,,,,,,
conor,18,20,32,70,6,,,,,,,
Roshi,22,13,20,55,8,,,,,,,
margio,2,2,2,6,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,V$,9,RISE,1,56,,,,,,,
V$ vs RISE (9-1),GP1,GP2,GP3,Total,Place,,,,,,,
Spart,44,38,28,110,2,,,,,,,
Jesus,37,23,41,101,4,,,,,,,
LilyUK,36,37,27,100,5,,,,,,,
Wal00gi,20,22,36,78,6,,,,,,,
Elana,1,2,2,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Versatile,138,122,134,0,394,338,56,W,9,1,R,
