Teams,Tag,P,W,T,L,F,A,Dif,Pts,,,
11/12/22,Se,8,jc,2,100,,,,,,,
Se vs jc (8-2),GP1,GP2,GP3,Total,Place,,,,,,,
Revan,39,33,50,122,1,,,,,,,
Shawn,47,30,43,120,2,,,,,,,
Kasperinos,33,34,26,93,4,,,,,,,
Edison,20,22,35,77,5,,,,,,,
Maq,1,1,2,4,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,140,120,156,0,416,316,100,W,8,2,R,
(6-2),2,0,2,4,8,,,,,,,
(2-5),0,2,0,0,2,,,,,,,
perma jc,104,124,88,0,316,416,-100,L,2,8,R,
Thunda,30,31,34,95,3,,,,,,,
mike,28,31,16,75,6,,,,,,,
ornan,30,15,24,69,7,,,,,,,
yui,13,44,12,69,7,,,,,,,
Luxii,3,3,2,8,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,Se,10,NL,0,126,,,,,,,
Se vs NL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
Revise,39,50,26,115,1,,,,,,,
Edison,33,42,36,111,2,,,,,,,
Shawn,35,39,32,106,3,,,,,,,
Revan,21,23,34,78,6,,,,,,,
Maq,4,2,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,132,156,131,0,419,293,126,W,10,0,R,
(7-2),2,2,2,4,10,,,,,,,
(2-4),0,0,0,0,0,,,,,,,
Netherlands,112,88,113,-20,293,419,-126,L,0,10,R,
Leops,39,21,37,97,4,,,,,,,
Rubin Spieler,33,24,38,95,5,,,,,,,
Good Luck,16,27,26,69,7,,,,,,,
Mario,24,14,11,49,8,,,,,,,
Joris,0,2,1,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,Se,7,XI,3,18,,,,,,,
Se vs XI,GP1,GP2,GP3,Total,Place,,,,,,,
Revise,38,22,41,101,2,,,,,,,
Revan,25,52,18,95,3,,,,,,,
Shawn,29,33,27,89,4,,,,,,,
Edison,27,30,24,81,7,,,,,,,
Maq,3,3,3,9,9,OP Scr,+/-,WTD,TpF,TpA,Event,
Superbia,122,140,113,0,375,357,18,W,7,3,R,
(8-2),1,2,0,4,7,,,,,,,
(4-3),1,0,2,0,3,,,,,,,
Lazarus,122,104,131,0,357,375,-18,L,3,7,R,
Xander,33,24,52,109,1,,,,,,,
Feysal,34,20,35,89,4,,,,,,,
barney,40,25,21,86,6,,,,,,,
Fox,14,34,22,70,8,,,,,,,
Jazz (4) / Evan (8),1,1,1,3,10,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/19/22,XI,10,jc,0,140,,,,,,,
XI vs jc (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
barney,52,32,41,125,1,,,,,,,
Feysal,41,39,34,114,2,,,,,,,
Xander,35,37,32,104,3,,,,,,,
Fox,28,19,41,88,5,,,,,,,
Jazz,3,1,1,5,10,OP Scr,+/-,WTD,TpF,TpA,Event,
Lazarus,159,128,149,0,436,296,140,W,10,0,R,
(5-3),2,2,2,4,10,,,,,,,
(2-5),0,0,0,0,0,,,,,,,
perma jc,85,116,95,0,296,436,-140,L,0,10,R,
mike,22,29,39,90,4,,,,,,,
jaker,26,33,16,75,6,,,,,,,
12SUP3RHUM4NHD56,25,32,14,71,7,,,,,,,
paul,11,19,23,53,8,,,,,,,
Luxii,1,3,3,7,9,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,XI,10,NL,0,F,,,,,,,
XI vs NL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Lazarus,100,100,100,300,300,0,300,W,10,0,R,
(6-3),2,2,2,4,10,,,,,,,
(2-4),0,0,0,0,0,,,,,,,
Netherlands,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/27/22,XI,10,jc,0,F,,,,,,,
XI vs jc (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
Lazarus,100,100,100,300,300,0,300,W,10,0,R,
(7-3),2,2,2,4,10,,,,,,,
(2-6),0,0,0,0,0,,,,,,,
perma jc,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,,,,,,,,,
DONE,W,Pts,L,Pts,Dif,,,,,,,
11/28/22,jc,10,NL,0,F,,,,,,,
jc vs NL (10-0),GP1,GP2,GP3,Total,Place,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,,,,,,,
,,,,0,,OP Scr,+/-,WTD,TpF,TpA,Event,
perma jc,100,100,100,300,300,0,300,W,10,0,R,
(3-7),2,2,2,4,10,,,,,,,
(0-8),0,0,0,0,0,,,,,,,
Netherlands,0,0,0,0,0,300,-300,L,0,10,R,
,,,,0,,,,,,,,
